Indice;Fecha;Open;Close;Variacion_diaria;Descripcion
36;2021-05-05;53252.164063;57424.007813;4171.84375;Sube
37;2021-05-06;57441.308594;56396.515625;-1044.792969000002;Baja
38;2021-05-07;56413.953125;57356.402344;942.4492190000019;Sube
39;2021-05-08;57352.765625;58803.777344;1451.011719000002;Sube
40;2021-05-09;58877.390625;58232.316406;-645.0742190000019;Baja
41;2021-05-10;58250.871094;55859.796875;-2391.074219000002;Baja
42;2021-05-11;55847.242188;56704.574219;857.3320310000054;Sube
43;2021-05-12;56714.53125;49150.535156;-7563.996094000002;Baja
44;2021-05-13;49735.433594;49716.191406;-19.242188000003807;Baja
45;2021-05-14;49682.980469;49880.535156;197.5546869999962;Sube
46;2021-05-15;49855.496094;46760.1875;-3095.308594000002;Baja
47;2021-05-16;46716.636719;46456.058594;-260.578125;Baja
48;2021-05-17;46415.898438;43537.511719;-2878.3867189999946;Baja
49;2021-05-18;43488.058594;42909.402344;-578.65625;Baja
50;2021-05-19;42944.976563;37002.441406;-5942.535156999998;Baja
51;2021-05-20;36753.667969;40782.738281;4029.070311999996;Sube
52;2021-05-21;40596.949219;37304.691406;-3292.257813000004;Baja
53;2021-05-22;37371.03125;37536.632813;165.60156299999653;Sube
54;2021-05-23;37531.449219;34770.582031;-2760.867188000004;Baja
55;2021-05-24;34700.363281;38705.980469;4005.617188000004;Sube
56;2021-05-25;38795.78125;38402.222656;-393.5585940000019;Baja
57;2021-05-26;38392.625;39294.199219;901.5742190000019;Sube
58;2021-05-27;39316.890625;38436.96875;-879.921875;Baja
59;2021-05-28;38507.082031;35697.605469;-2809.476561999996;Baja
60;2021-05-29;35684.15625;34616.066406;-1068.089844000002;Baja
61;2021-05-30;34607.40625;35678.128906;1070.722655999998;Sube
62;2021-05-31;35658.59375;37332.855469;1674.261719000002;Sube
63;2021-06-01;37293.792969;36684.925781;-608.8671880000038;Baja
64;2021-06-02;36699.921875;37575.179688;875.2578129999965;Sube
65;2021-06-03;37599.410156;39208.765625;1609.355469000002;Sube
66;2021-06-04;39242.484375;36894.40625;-2348.078125;Baja
67;2021-06-05;36880.15625;35551.957031;-1328.199219000002;Baja
68;2021-06-06;35538.609375;35862.378906;323.7695309999981;Sube
69;2021-06-07;35835.265625;33560.707031;-2274.558594000002;Baja
70;2021-06-08;33589.519531;33472.632813;-116.88671800000157;Baja
71;2021-06-09;33416.976563;37345.121094;3928.1445310000054;Sube
72;2021-06-10;37389.515625;36702.597656;-686.9179690000019;Baja
73;2021-06-11;36697.03125;37334.398438;637.3671879999965;Sube
74;2021-06-12;37340.144531;35552.515625;-1787.628905999998;Baja
75;2021-06-13;35555.789063;39097.859375;3542.0703120000035;Sube
76;2021-06-14;39016.96875;40218.476563;1201.5078129999965;Sube
77;2021-06-15;40427.167969;40406.269531;-20.898438000003807;Baja
78;2021-06-16;40168.691406;38347.0625;-1821.628905999998;Baja
79;2021-06-17;38341.421875;38053.503906;-287.9179690000019;Baja
80;2021-06-18;38099.476563;35787.246094;-2312.2304689999946;Baja
81;2021-06-19;35854.527344;35615.871094;-238.65625;Baja
82;2021-06-20;35563.140625;35698.296875;135.15625;Sube
83;2021-06-21;35641.144531;31676.693359;-3964.4511719999973;Baja
84;2021-06-22;31622.376953;32505.660156;883.2832030000027;Sube
85;2021-06-23;32515.714844;33723.027344;1207.3125000000036;Sube
86;2021-06-24;33682.800781;34662.4375;979.6367190000019;Sube
87;2021-06-25;34659.105469;31637.779297;-3021.326172000001;Baja
88;2021-06-26;31594.664063;32186.277344;591.6132809999981;Sube
89;2021-06-27;32287.523438;34649.644531;2362.121092999998;Sube
90;2021-06-28;34679.121094;34434.335938;-244.78515600000537;Baja
91;2021-06-29;34475.558594;35867.777344;1392.21875;Sube
92;2021-06-30;35908.386719;35040.835938;-867.5507810000054;Baja
93;2021-07-01;35035.984375;33572.117188;-1463.8671870000035;Baja
94;2021-07-02;33549.601563;33897.046875;347.44531200000347;Sube
95;2021-07-03;33854.421875;34668.546875;814.125;Sube
96;2021-07-04;34665.566406;35287.78125;622.2148440000019;Sube
97;2021-07-05;35284.34375;33746.003906;-1538.339844000002;Baja
98;2021-07-06;33723.507813;34235.195313;511.6875;Sube
99;2021-07-07;34225.679688;33855.328125;-370.35156299999653;Baja
100;2021-07-08;33889.605469;32877.371094;-1012.234375;Baja
101;2021-07-09;32861.671875;33798.011719;936.3398440000019;Sube
102;2021-07-10;33811.242188;33520.519531;-290.72265699999843;Baja
103;2021-07-11;33509.078125;34240.1875;731.109375;Sube
104;2021-07-12;34254.015625;33155.847656;-1098.167969000002;Baja
105;2021-07-13;33125.46875;32702.025391;-423.4433590000008;Baja
106;2021-07-14;32723.845703;32822.347656;98.50195299999905;Sube
107;2021-07-15;32827.875;31780.730469;-1047.1445310000017;Baja
108;2021-07-16;31841.550781;31421.539063;-420.01171800000157;Baja
109;2021-07-17;31397.308594;31533.068359;135.75976500000252;Sube
110;2021-07-18;31533.884766;31796.810547;262.92578100000173;Sube
111;2021-07-19;31800.011719;30817.832031;-982.1796879999965;Baja
112;2021-07-20;30838.285156;29807.347656;-1030.9375;Baja
113;2021-07-21;29796.285156;32110.693359;2314.408202999999;Sube
114;2021-07-22;32138.873047;32313.105469;174.2324219999973;Sube
115;2021-07-23;32305.958984;33581.550781;1275.5917969999973;Sube
