Fecha analizada	  Comportamiento de la accion	abs Diferencia Close-Open
2021-04-26	Baja	1.0900120000000015
2021-04-27	Baja	0.5800020000000075
2021-04-28	Baja	0.8800050000000113
2021-04-29	Sube	2.300003000000004
2021-04-30	Baja	1.4199979999999925
2021-05-03	Sube	1.6100009999999827
2021-05-04	Sube	2.9400019999999927
2021-05-05	Baja	0.4299929999999961
2021-05-06	Sube	0.9500119999999868
2021-05-07	Sube	0.1999969999999962
2021-05-10	Sube	0.3700100000000077
2021-05-11	Baja	1.7699889999999812
2021-05-12	Baja	0.3399960000000135
2021-05-13	Sube	2.990005999999994
2021-05-14	Baja	1.2599950000000035
2021-05-17	Baja	0.009995000000003529
2021-05-18	Sube	0.47000099999999634
2021-05-19	Sube	0.16999800000002097
2021-05-20	Sube	1.1300050000000113
2021-05-21	Baja	0.36999500000001717
2021-05-24	Baja	0.3499909999999886
2021-05-25	Baja	0.5899959999999851
2021-05-26	Baja	0.9299929999999961
2021-05-27	Baja	0.4499969999999962
2021-05-28	Baja	0.27000400000000013
2021-06-01	Baja	4.619994999999989
2021-06-02	Sube	0.8999939999999924
2021-06-03	Sube	0.14999400000002083
2021-06-04	Baja	1.0399940000000072
2021-06-07	Baja	1.1600039999999865
2021-06-08	Baja	1.8900000000000148
2021-06-09	Sube	1.599991000000017
2021-06-10	Sube	1.0800020000000075
2021-06-11	Baja	2.1100000000000136
2021-06-14	Sube	0.8699949999999887
2021-06-15	Baja	0.7399910000000034
2021-06-16	Baja	0.3700100000000077
2021-06-17	Sube	1.0299990000000037
2021-06-18	Baja	1.2900080000000003
2021-06-21	Sube	1.0699920000000134
2021-06-22	Baja	0.09001200000000154
2021-06-23	Baja	1.0599969999999814
2021-06-24	Sube	0.09999099999998862
2021-06-25	Sube	1.2700049999999976
2021-06-28	Baja	0.41999799999999254
2021-06-29	Sube	0.02999900000000366
2021-06-30	Sube	0.7400049999999965
2021-07-01	Sube	1.2200019999999938
2021-07-02	Sube	2.9599919999999997
2021-07-06	Sube	0.05999700000000985
2021-07-07	Sube	1.9300079999999866
2021-07-08	Sube	0.38000500000001125
2021-07-09	Sube	0.38000500000001125
2021-07-12	Baja	0.25
2021-07-13	Sube	0.3000030000000038
2021-07-14	Sube	0.41999799999999254
2021-07-15	Baja	0.930008000000015
2021-07-16	Baja	0.23999000000000592
2021-07-19	Sube	0.4000090000000114
2021-07-20	Sube	1.5500030000000038
2021-07-21	Sube	0.19000199999999268
